,Date,salesQ,skuNum
290,2015-07-31,6,FTRCC-BLBLZ1000
291,2015-07-31,10,FTRCC-BLKWVE
292,2015-07-31,15,FTRCC-BMB750
293,2015-07-31,5,FTRCC-BRD
294,2015-07-31,16,FTRCC-BRD500
295,2015-07-31,6,FTRCC-BSSLET
296,2015-07-31,5,FTRCC-BTF500
297,2015-07-31,10,FTRCC-BTF750
298,2015-07-31,7,FTRCC-DOT
299,2015-07-31,7,FTRCC-ELCTRC1000
300,2015-07-31,7,FTRCC-FRST
301,2015-07-31,5,FTRCC-MSS
302,2015-07-31,4,FTRCC-OCN750
303,2015-07-31,5,FTRCC-PCE
304,2015-07-31,15,FTRCC-PRSM
305,2015-07-31,6,FTRCC-PTNT1000
306,2015-07-31,7,FTRCC-SLF750
307,2015-07-31,14,FTRCC-SNG
308,2015-07-31,2,FTRCC-STRM
309,2015-07-31,10,FTRCC-SUN1000
310,2015-07-31,4,FTRCC-TSNBLUE
311,2015-07-31,7,FTRCC-WIND
312,2015-07-31,8,FTRCC-WNDW500
313,2015-07-31,19,FTRCC-WTWTR1000
314,2015-10-14,1,FTR-BLUE
315,2015-10-14,2,FTR-BLUE500
316,2015-10-14,21,FTR-GLD
317,2015-10-14,5,FTR-MNT
318,2015-10-14,10,FTR-SILVER1000
319,2015-10-14,5,FTR-SLV
320,2015-10-14,15,FTRCC-ABSTR500
321,2015-10-14,8,FTRCC-BAY
322,2015-10-14,3,FTRCC-BLBCHS
323,2015-10-14,20,FTRCC-BLKWVE
324,2015-10-14,2,FTRCC-BLKWVE1000
325,2015-10-14,20,FTRCC-BMB750
326,2015-10-14,3,FTRCC-BRD
327,2015-10-14,19,FTRCC-BSSLET
328,2015-10-14,4,FTRCC-BSSLETGRN
329,2015-10-14,52,FTRCC-BTF750
330,2015-10-14,30,FTRCC-CAMO
331,2015-10-14,20,FTRCC-DOT
332,2015-10-14,23,FTRCC-FRST
333,2015-10-14,40,FTRCC-HRZN
334,2015-10-14,13,FTRCC-MSS
335,2015-10-14,24,FTRCC-OCN750
336,2015-10-14,5,FTRCC-PRSM
337,2015-10-14,20,FTRCC-PTNT1000
338,2015-10-14,119,FTRCC-SLF750
339,2015-10-14,5,FTRCC-SNG
340,2015-10-14,10,FTRCC-STRM
341,2015-10-14,17,FTRCC-SUN
342,2015-10-14,18,FTRCC-SUN1000
343,2015-10-14,7,FTRCC-TBE
344,2015-10-14,26,FTRCC-TSNBLUE
345,2015-10-14,24,FTRCC-WIND
346,2015-10-14,5,FTRCC-WNDW500
347,2015-10-14,9,FTRCC-WSH
348,2015-10-14,20,FTRCC-WTWTR1000
349,2015-11-10,42,FTRCC-BTF750
350,2015-11-10,30,FTRCC-FRSTKORU
351,2015-11-10,20,FTRCC-OCN750
352,2015-11-10,45,FTRCC-SUN
353,2015-11-10,10,FTRCC-TSN750
354,2015-11-10,42,FTRCC-WIND
355,2015-12-15,15,FTR-BLUE
356,2015-12-15,8,FTR-BLUE1000
357,2015-12-15,17,FTR-FLBL500
358,2015-12-15,38,FTR-GLD
359,2015-12-15,6,FTR-GRN
360,2015-12-15,14,FTR-HTPNK500
361,2015-12-15,19,FTR-MNT
362,2015-12-15,4,FTR-RED
363,2015-12-15,21,FTR-SILVER1000
364,2015-12-15,14,FTR-SLV
365,2015-12-15,6,FTR-SLV500
366,2015-12-15,49,FTR-WOODGRAIN
367,2015-12-15,5,FTRCC-BAY
368,2015-12-15,67,FTRCC-BBL1000
369,2015-12-15,17,FTRCC-BLBLZ1000
370,2015-12-15,5,FTRCC-BLKWVE
371,2015-12-15,79,FTRCC-BLSM
372,2015-12-15,168,FTRCC-BRD
373,2015-12-15,5,FTRCC-BSSLET
374,2015-12-15,48,FTRCC-BTF500
375,2015-12-15,5,FTRCC-CAMO
376,2015-12-15,37,FTRCC-CLD500
377,2015-12-15,28,FTRCC-DFD350
378,2015-12-15,10,FTRCC-ELCTRC1000
379,2015-12-15,60,FTRCC-FRST
380,2015-12-15,26,FTRCC-GLT350
381,2015-12-15,5,FTRCC-MSS
382,2015-12-15,116,FTRCC-PCE
383,2015-12-15,5,FTRCC-PRSM
384,2015-12-15,128,FTRCC-SKTCH
385,2015-12-15,5,FTRCC-SLF750
386,2015-12-15,25,FTRCC-SNST500
387,2015-12-15,16,FTRCC-SPRNG500
388,2015-12-15,5,FTRCC-SUN
389,2015-12-15,77,FTRCC-SUNSET
390,2015-12-15,26,FTRCC-TBE
391,2015-12-15,5,FTRCC-WIND
392,2015-12-15,107,FTRCC-WNDR
393,2015-12-15,79,FTRCC-WTWTR1000
394,2016-02-05,1,FTR-BLUE
395,2016-02-05,8,FTR-BLUE1000
396,2016-02-05,18,FTR-FLBL500
397,2016-02-05,13,FTR-GLD
398,2016-02-05,3,FTR-GRN
399,2016-02-05,14,FTR-HTPNK500
400,2016-02-05,13,FTR-MNT
401,2016-02-05,2,FTR-RED
402,2016-02-05,16,FTR-SILVER1000
403,2016-02-05,4,FTR-SLV
404,2016-02-05,9,FTR-SLV500
405,2016-02-05,19,FTR-WOOD500
406,2016-02-05,55,FTR-WOODGRAIN
407,2016-02-05,5,FTRCC-BAY
408,2016-02-05,33,FTRCC-BBL1000
409,2016-02-05,29,FTRCC-BLBLZ1000
410,2016-02-05,5,FTRCC-BLSM
411,2016-02-05,49,FTRCC-BRD
412,2016-02-05,19,FTRCC-BTF500
413,2016-02-05,54,FTRCC-CHLL
414,2016-02-05,18,FTRCC-CLD500
415,2016-02-05,22,FTRCC-DEEP
416,2016-02-05,8,FTRCC-DFD350
417,2016-02-05,18,FTRCC-DRM
418,2016-02-05,10,FTRCC-GLT350
419,2016-02-05,16,FTRCC-KOFE500
420,2016-02-05,41,FTRCC-MDNT1000
421,2016-02-05,3,FTRCC-MSS
422,2016-02-05,5,FTRCC-PCE
423,2016-02-05,3,FTRCC-PTNT1000
424,2016-02-05,13,FTRCC-SHMR
425,2016-02-05,22,FTRCC-SKTCH
426,2016-02-05,25,FTRCC-SLF750
427,2016-02-05,21,FTRCC-SNST500
428,2016-02-05,17,FTRCC-SPRNG500
429,2016-02-05,26,FTRCC-SUNSET
430,2016-02-05,6,FTRCC-TBE
431,2016-02-05,23,FTRCC-WNDR
432,2016-02-05,22,FTRCC-WRM
433,2016-02-05,11,FTRCC-WSH
434,2016-02-05,30,FTRCC-WTWTR1000
435,2016-01-11,40,FTRCC-DFD350
436,2016-01-11,40,FTRCC-GLT350
437,2016-01-11,2,FTRCC-BSSLET-SILVER-750 ml
438,2016-01-11,50,FTRCC-BBL1000
439,2016-01-11,2,FTRCC-BLKWVE-SILVER-750 ml
440,2016-01-11,5,FTRCC-WIND-BLUE-750 ml
441,2016-01-11,10,FTRCC-FRST-GREEN-750 ml
442,2016-01-11,5,FTRCC-SLF750-MINT-750 ml
443,2016-01-11,20,FTRCC-PCE-MINT-750 ml
444,2016-01-11,5,FTRCC-WSH-MINT-750 ml
445,2016-01-11,2,FTRCC-SUN-SILVER-750 ml
446,2016-01-11,10,FTRCC-TBE-GREEN-750 ml
447,2016-01-11,5,FTRCC-BAY-BLUE-750 ml
448,2016-01-11,2,FTRCC-CAMO-SILVER-750 ml
449,2016-01-11,35,FTRCC-WTWTR1000-SILVER-1000 ml
450,2016-01-11,67,FTRCC-BLBLZ1000-BLUE-1000 ml
451,2016-01-11,5,FTR-BLUE-BLUE-750 ml
452,2016-01-11,5,FTR-MNT-MINT-750 ml
453,2016-01-11,10,FTR-GRN-GREEN-750 ml
454,2016-01-11,34,FTR-SILVER1000-SILVER-1000 ml
455,2016-01-11,17,FTR-BLUE1000-BLUE-1000 ml
456,2016-01-11,8,FTR-RED
457,2016-01-11,36,FTRCC-SUNSET
458,2016-01-11,4,FTRCC-SUN1000-SILVER-1000 ml
459,2016-01-11,3,FTRCC-PTNT1000-SILVER-1000 ml
460,2016-01-11,16,FTRCC-DRM
461,2016-01-11,50,FTRCC-CHLL
462,2016-01-11,16,FTRCC-DEEP
463,2016-01-11,8,FTRCC-SHMR
464,2016-01-11,16,FTRCC-WRM
465,2016-01-11,21,FTRCC-MDNT1000
466,2016-02-24,33,FTRCC-SNST500
467,2016-02-24,33,FTRCC-CLD500
468,2016-02-24,19,FTRCC-KOFE500
469,2016-02-24,25,FTRCC-SPRNG500
470,2016-02-24,24,FTRCC-WNDR
471,2016-02-24,18,FTRCC-SKTCH
472,2016-02-24,18,FTRCC-BTF500-GOLD-500 ml
473,2016-02-24,15,FTRCC-PRSM-SILVER-750 ml
474,2016-02-24,19,FTRCC-BRD-GOLD-750 ml
475,2016-02-24,15,FTRCC-BLSM-BLOSSOM-BLUE-750 ml
476,2016-02-24,5,FTR-SLV-SILVER-750 ml
477,2016-02-24,12,FTR-GLD-GOLD-750 ml
478,2016-02-24,13,FTR-WOODGRAIN-WOODGRAIN-750 ml
479,2016-02-24,3,FTR-FLBL500
480,2016-02-24,3,FTR-HTPNK500
481,2016-02-24,13,FTR-SLV500
482,2016-02-24,4,FTR-WOOD500
483,2016-02-24,28,FTRCC-BMB750-GOLD-750 ml
484,2016-02-24,22,FTRCC-STTC
485,2016-02-24,23,FTRCC-BTF750-GOLD-750 ml
486,2016-02-24,15,FTRCC-DFD350
487,2016-02-24,17,FTRCC-FLK350
488,2016-02-24,8,FTRCC-BSSLET-SILVER-750 ml
489,2016-02-24,45,FTRCC-BBL1000
490,2016-02-24,13,FTRCC-BLKWVE-SILVER-750 ml
491,2016-02-24,2,FTRCC-WIND-BLUE-750 ml
492,2016-02-24,10,FTRCC-SLF750-MINT-750 ml
493,2016-02-24,30,FTRCC-PCE-MINT-750 ml
494,2016-02-24,3,FTRCC-WSH-MINT-750 ml
495,2016-02-24,3,FTRCC-TBE-GREEN-750 ml
496,2016-02-24,2,FTRCC-BAY-BLUE-750 ml
497,2016-02-24,5,FTRCC-CAMO-SILVER-750 ml
498,2016-02-24,30,FTRCC-WTWTR1000-SILVER-1000 ml
499,2016-02-24,37,FTRCC-BLBLZ1000-BLUE-1000 ml
500,2016-02-24,3,FTRCC-SUNSET
501,2016-02-24,15,FTRCC-DRM
502,2016-02-24,40,FTRCC-CHLL
503,2016-02-24,13,FTRCC-DEEP
504,2016-02-24,1,FTR-BLUE-BLUE-750 ml
505,2016-02-24,5,FTR-MNT-MINT-750 ml
506,2016-02-24,21,FTR-SILVER1000-SILVER-1000 ml
507,2016-02-24,10,FTR-BLUE1000-BLUE-1000 ml
508,2016-02-24,2,FTR-RED
509,2016-02-24,18,FTRCC-SHMR
510,2016-02-24,15,FTRCC-WRM
511,2016-02-24,34,FTRCC-MDNT1000
512,2016-04-01,16,FTRCC-SNST500
513,2016-04-01,16,FTRCC-CLD500
514,2016-04-01,12,FTRCC-KOFE500
515,2016-04-01,7,FTRCC-SPRNG500
516,2016-04-01,15,FTRCC-WNDR
517,2016-04-01,9,FTRCC-SKTCH
518,2016-04-01,11,FTRCC-BTF500-GOLD-500 ml
519,2016-04-01,9,FTRCC-PRSM-SILVER-750 ml
520,2016-04-01,13,FTRCC-BRD-GOLD-750 ml
521,2016-04-01,17,FTRCC-BLSM-BLOSSOM-BLUE-750 ml
522,2016-04-01,2,FTR-SLV-SILVER-750 ml
523,2016-04-01,4,FTR-GLD-GOLD-750 ml
524,2016-04-01,7,FTR-WOODGRAIN-WOODGRAIN-750 ml
525,2016-04-01,4,FTR-FLBL500
526,2016-04-01,3,FTR-HTPNK500
527,2016-04-01,1,FTR-SLV500
528,2016-04-01,6,FTR-WOOD500
529,2016-04-01,12,FTRCC-BMB750-GOLD-750 ml
530,2016-04-01,13,FTRCC-STTC
531,2016-04-01,20,FTRCC-BTF750-GOLD-750 ml
532,2016-04-01,15,FTRCC-DFD350
533,2016-04-01,10,FTRCC-FLK350
534,2016-04-01,1,FTRCC-BSSLET-SILVER-750 ml
535,2016-04-01,28,FTRCC-BBL1000
536,2016-04-01,10,FTRCC-BLKWVE-SILVER-750 ml
537,2016-04-01,33,FTRCC-PCE-MINT-750 ml
538,2016-04-01,3,FTRCC-WSH-MINT-750 ml
539,2016-04-01,3,FTRCC-TBE-GREEN-750 ml
540,2016-04-01,2,FTRCC-BAY-BLUE-750 ml
541,2016-04-01,6,FTRCC-CAMO-SILVER-750 ml
542,2016-04-01,13,FTRCC-WTWTR1000-SILVER-1000 ml
543,2016-04-01,10,FTRCC-BLBLZ1000-BLUE-1000 ml
544,2016-04-01,14,FTRCC-DRM
545,2016-04-01,10,FTRCC-CHLL
546,2016-04-01,12,FTRCC-DEEP
547,2016-04-01,2,FTR-BLUE-BLUE-750 ml
548,2016-04-01,2,FTR-MNT-MINT-750 ml
549,2016-04-01,2,FTR-GRN-GREEN-750 ml
550,2016-04-01,9,FTR-SILVER1000-SILVER-1000 ml
551,2016-04-01,3,FTR-BLUE1000-BLUE-1000 ml
552,2016-04-01,19,FTRCC-WRM
553,2016-04-01,22,FTRCC-MDNT1000
554,2016-04-01,5,FTRCC-GLT350
555,2016-05-09,17,FTRCC-SNST500
556,2016-05-09,16,FTRCC-CLD500
557,2016-05-09,18,FTRCC-KOFE500
558,2016-05-09,18,FTRCC-SPRNG500
559,2016-05-09,18,FTRCC-WNDR
560,2016-05-09,6,FTRCC-SKTCH
561,2016-05-09,5,FTRCC-BTF500-GOLD-500 ml
562,2016-05-09,8,FTRCC-PRSM-SILVER-750 ml
563,2016-05-09,19,FTRCC-BRD-GOLD-750 ml
564,2016-05-09,22,FTRCC-BLSM-BLOSSOM-BLUE-750 ml
565,2016-05-09,3,FTR-SLV-SILVER-750 ml
566,2016-05-09,5,FTR-GLD-GOLD-750 ml
567,2016-05-09,13,FTR-WOODGRAIN-WOODGRAIN-750 ml
568,2016-05-09,1,FTR-FLBL500
569,2016-05-09,1,FTR-HTPNK500
570,2016-05-09,3,FTR-SLV500
571,2016-05-09,4,FTR-WOOD500
572,2016-05-09,15,FTRCC-BMB750-GOLD-750 ml
573,2016-05-09,20,FTRCC-STTC
574,2016-05-09,11,FTRCC-BTF750-GOLD-750 ml
575,2016-05-09,16,FTRCC-DFD350
576,2016-05-09,7,FTRCC-FLK350
577,2016-05-09,4,FTRCC-BSSLET-SILVER-750 ml
578,2016-05-09,14,FTRCC-BBL1000
579,2016-05-09,10,FTRCC-BLKWVE-SILVER-750 ml
580,2016-05-09,28,FTRCC-PCE-MINT-750 ml
581,2016-05-09,5,FTRCC-WSH-MINT-750 ml
582,2016-05-09,2,FTRCC-BAY-BLUE-750 ml
583,2016-05-09,3,FTRCC-CAMO-SILVER-750 ml
584,2016-05-09,13,FTRCC-WTWTR1000-SILVER-1000 ml
585,2016-05-09,5,FTRCC-BLBLZ1000-BLUE-1000 ml
586,2016-05-09,12,FTRCC-DRM
587,2016-05-09,2,FTRCC-CHLL
588,2016-05-09,11,FTRCC-DEEP
589,2016-05-09,3,FTR-BLUE-BLUE-750 ml
590,2016-05-09,2,FTR-MNT-MINT-750 ml
591,2016-05-09,11,FTR-SILVER1000-SILVER-1000 ml
592,2016-05-09,3,FTR-BLUE1000-BLUE-1000 ml
593,2016-05-09,5,FTRCC-SHMR
594,2016-05-09,15,FTRCC-WRM
595,2016-05-09,24,FTRCC-MDNT1000
596,2016-05-09,4,FTRCC-GLT350
597,2015-06-23,3,FTR-BLUE500-BLUE-500 ml
598,2015-06-23,9,FTR-GOLD500-GOLD-500 ml
599,2015-06-23,12,FTRCC-ABSTR500-BLUE-500 ml
600,2015-06-23,20,FTRCC-WNDW500-BLUE-500 ml
601,2015-06-23,21,FTRCC-BTF500-GOLD-500 ml
602,2015-06-23,15,FTRCC-BRD500-GOLD-500 ml
603,2015-06-23,7,FTR-SLV-SILVER-750 ml
604,2015-06-23,18,FTR-GLD-GOLD-750 ml
605,2015-06-23,5,FTR-BLK-BLACK-750 ml
606,2015-06-23,5,FTR-BLUE-BLUE-750 ml
607,2015-06-23,9,FTR-MNT-MINT-750 ml
608,2015-06-23,4,FTR-GRN-GREEN-750 ml
609,2015-06-23,20,FTR-WOODGRAIN-WOODGRAIN-750 ml
610,2015-06-23,21,FTRCC-BLKWVE-SILVER-750 ml
611,2015-06-23,12,FTRCC-BSSLET-SILVER-750 ml
612,2015-06-23,22,FTRCC-PRSM-SILVER-750 ml
613,2015-06-23,10,FTRCC-WIND-BLUE-750 ml
614,2015-06-23,12,FTRCC-OCN750-BLUE-750 ml
615,2015-06-23,15,FTRCC-STRM-BLUE-750 ml
616,2015-06-23,23,FTRCC-BMB750-GOLD-750 ml
617,2015-06-23,16,FTRCC-BTF750-GOLD-750 ml
618,2015-06-23,10,FTRCC-FRST-GREEN-750 ml
619,2015-06-23,10,FTRCC-MSS-GREEN-750 ml
620,2015-06-23,7,FTRCC-SLF750-MINT-750 ml
621,2015-06-23,28,FTRCC-PCE-MINT-750 ml
622,2015-06-23,5,FTRCC-SNG-MINT-750 ml
623,2015-06-23,7,FTRCC-BAY-BLUE-750 ml
624,2015-06-23,8,FTRCC-TSNBLUE-BLUE-750 ml
625,2015-06-23,3,FTRCC-BLBCHS-BLUE-750 ml
626,2015-06-23,5,FTRCC-CAMO-SILVER-750 ml
627,2015-06-23,11,FTR-SILVER1000-SILVER-1000 ml
628,2015-06-23,8,FTR-BLUE1000-BLUE-1000 ml
629,2015-06-23,19,FTRCC-SUN1000-SILVER-1000 ml
630,2015-06-23,17,FTRCC-WTWTR1000-SILVER-1000 ml
631,2015-06-23,20,FTRCC-PTNT1000-SILVER-1000 ml
632,2015-06-23,22,FTRCC-ELCTRC1000-BLUE-1000 ml
633,2015-06-23,13,FTRCC-BLBLZ1000-BLUE-1000 ml
634,2015-08-28,10,FTRCC-ABSTR500-BLUE-500 ml
635,2015-08-28,10,FTRCC-WNDW500-BLUE-500 ml
636,2015-08-28,14,FTRCC-BLKWVE-SILVER-750 ml
